episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100
230,0.93784,1,-10.0,-10.0,False,3209,2698,0.1983291655778885,0.0007975868666937778,0.5
231,0.93757,6,5.0,5.0,True,3215,2704,0.14737080037593842,0.0007975610188704968,0.51
232,0.9373,17,-26.0,-26.0,False,3232,2721,0.14207924902439117,0.0007975350338356297,0.51
233,0.93703,5,6.0,6.0,True,3237,2726,0.21175949275493622,0.0007975089115994351,0.52
234,0.93676,10,-19.0,-18.4,False,3247,2736,0.14146508276462555,0.0007974826521722257,0.52
235,0.93649,11,-20.0,-19.8,False,3258,2747,0.1631220430135727,0.0007974562555643685,0.51
236,0.93621,26,-35.0,-34.6,False,3284,2773,0.2852126657962799,0.0007974297217862841,0.5
237,0.93594,4,-13.0,-13.0,False,3288,2777,0.2026197612285614,0.0007974030508484475,0.5
238,0.93567,15,-4.0,-3.2,True,3303,2792,0.22852478921413422,0.0007973762427613886,0.5
239,0.9354,9,2.0,2.4,True,3312,2801,0.18003685772418976,0.0007973492975356904,0.5
240,0.93513,36,-45.0,-45.0,False,3348,2837,0.20661050081253052,0.0007973222151819903,0.5
241,0.93486,1,-10.0,-10.0,False,3349,2838,0.17050741612911224,0.0007972949957109803,0.49
242,0.93459,44,-53.0,-53.0,False,3393,2882,0.1535668522119522,0.0007972676391334061,0.48
243,0.93431,7,-16.0,-16.0,False,3400,2889,0.13085415959358215,0.0007972401454600677,0.48
244,0.93404,10,1.0,1.4,True,3410,2899,0.10471057891845703,0.0007972125147018188,0.49
245,0.93377,3,8.0,8.2,True,3413,2902,0.12937413156032562,0.0007971847468695681,0.49
246,0.9335,13,-2.0,-1.8,True,3426,2915,0.12280673533678055,0.0007971568419742776,0.5
247,0.93323,10,1.0,1.2,True,3436,2925,0.1527232825756073,0.0007971288000269638,0.51
248,0.93296,25,-14.0,-13.4,True,3461,2950,0.1490679681301117,0.0007971006210386973,0.52
249,0.93269,3,8.0,8.4,True,3464,2953,0.19061918556690216,0.0007970723050206024,0.52
250,0.93241,45,-45.0,-44.4,False,3509,2998,0.1363477259874344,0.0007970438519838582,0.51
251,0.93214,2,-11.0,-10.8,False,3511,3000,0.20476284623146057,0.0007970152619396973,0.51
252,0.93187,6,5.0,5.4,True,3517,3006,0.31104761362075806,0.0007969865348994068,0.51
253,0.9316,21,-10.0,-9.8,True,3538,3027,0.24876031279563904,0.0007969576708743275,0.52
254,0.93133,25,-34.0,-34.0,False,3563,3052,0.17368590831756592,0.0007969286698758544,0.52
255,0.93106,3,-12.0,-12.2,False,3566,3055,0.11427456885576248,0.0007968995319154368,0.52
256,0.93079,1,10.0,10.0,True,3567,3056,0.219551682472229,0.0007968702570045779,0.53
257,0.93051,19,-28.0,-27.6,False,3586,3075,0.16500224173069,0.0007968408451548347,0.52
258,0.93024,3,8.0,8.0,True,3589,3078,0.1525774747133255,0.0007968112963778188,0.53
259,0.92997,40,-49.0,-49.4,False,3629,3118,0.14336583018302917,0.0007967816106851955,0.52
260,0.9297,9,-18.0,-18.2,False,3638,3127,0.13729451596736908,0.0007967517880886843,0.51
261,0.92943,45,-45.0,-45.2,False,3683,3172,0.12311685085296631,0.0007967218286000587,0.51
262,0.92916,1,10.0,10.0,True,3684,3173,0.18811838328838348,0.0007966917322311461,0.51
263,0.92889,6,-15.0,-14.8,False,3690,3179,0.09214508533477783,0.0007966614989938282,0.51
264,0.92861,2,-11.0,-10.8,False,3692,3181,0.0700574666261673,0.0007966311289000406,0.5
265,0.92834,3,8.0,8.2,True,3695,3184,0.07353100925683975,0.0007966006219617728,0.51
266,0.92807,2,9.0,9.2,True,3697,3186,0.05281474441289902,0.0007965699781910686,0.52
267,0.9278,41,-30.0,-29.2,True,3738,3227,0.12909924983978271,0.0007965391976000256,0.53
268,0.92753,41,-50.0,-49.6,False,3779,3268,0.16234691441059113,0.0007965082802007954,0.52
269,0.92726,10,1.0,1.2,True,3789,3278,0.16318224370479584,0.0007964772260055839,0.52
270,0.92699,21,-10.0,-9.8,True,3810,3299,0.1592136025428772,0.0007964460350266508,0.52
271,0.92671,8,3.0,3.0,True,3818,3307,0.21929815411567688,0.0007964147072763096,0.53
272,0.92644,13,-22.0,-22.2,False,3831,3320,0.17216695845127106,0.0007963832427669282,0.52
273,0.92617,6,-15.0,-14.8,False,3837,3326,0.139642596244812,0.0007963516415109282,0.51
274,0.9259,10,-19.0,-18.8,False,3847,3336,0.12731830775737762,0.0007963199035207853,0.51
275,0.92563,16,-5.0,-4.4,True,3863,3352,0.12157590687274933,0.0007962880288090291,0.51
276,0.92536,44,-53.0,-53.4,False,3907,3396,0.10756360739469528,0.0007962560173882431,0.51
277,0.92509,3,-12.0,-12.0,False,3910,3399,0.09567286819219589,0.0007962238692710653,0.51
278,0.92481,2,-11.0,-11.0,False,3912,3401,0.14356492459774017,0.0007961915844701869,0.5
279,0.92454,45,-45.0,-45.0,False,3957,3446,0.10832156240940094,0.0007961591629983537,0.5
280,0.92427,21,-30.0,-30.0,False,3978,3467,0.09922508895397186,0.0007961266048683651,0.49
281,0.924,4,-13.0,-13.0,False,3982,3471,0.15945355594158173,0.0007960939100930744,0.48
282,0.92373,4,7.0,7.4,True,3986,3475,0.18210937082767487,0.000796061078685389,0.49
283,0.92346,10,1.0,1.4,True,3996,3485,0.11487402766942978,0.0007960281106582703,0.5
284,0.92319,3,8.0,8.0,True,3999,3488,0.11949959397315979,0.0007959950060247335,0.51
